2025-09-28 15:23:37,270 - INFO - DNS General iniciado en 0.0.0.0:50005
2025-09-28 15:23:37,271 - INFO - Esperando registros de servidores...
2025-09-28 15:26:52,168 - INFO - DNS General iniciado en 127.0.0.1:50005
2025-09-28 15:26:52,170 - INFO - Esperando registros de servidores...
2025-09-28 15:37:10,493 - INFO - Petición de ('127.0.0.1', 65416): heartbeat
2025-09-28 15:37:15,477 - INFO - Petición de ('127.0.0.1', 65417): heartbeat
2025-09-28 15:37:21,224 - INFO - Petición de ('127.0.0.1', 62546): heartbeat
2025-09-28 15:37:26,197 - INFO - Petición de ('127.0.0.1', 55729): heartbeat
2025-09-28 15:37:30,910 - INFO - Petición de ('127.0.0.1', 62567): heartbeat
2025-09-28 15:37:40,494 - INFO - Petición de ('127.0.0.1', 56924): heartbeat
2025-09-28 15:37:45,479 - INFO - Petición de ('127.0.0.1', 57001): heartbeat
2025-09-28 15:37:51,225 - INFO - Petición de ('127.0.0.1', 50917): heartbeat
2025-09-28 15:37:56,198 - INFO - Petición de ('127.0.0.1', 50937): heartbeat
2025-09-28 15:43:29,807 - INFO - DNS General iniciado en 127.0.0.1:50005
2025-09-28 15:43:29,808 - INFO - Esperando registros de servidores...
2025-09-28 15:43:46,473 - INFO - Petición de ('127.0.0.1', 54055): registrar_servidor
2025-09-28 15:43:46,473 - INFO - Servidor SERVER1 registrado con 4 archivos
2025-09-28 15:43:46,851 - INFO - Petición de ('127.0.0.1', 54057): registrar_servidor
2025-09-28 15:43:46,851 - INFO - Servidor SERVER_MARCO registrado con 0 archivos
2025-09-28 15:43:47,255 - INFO - Petición de ('127.0.0.1', 54058): registrar_servidor
2025-09-28 15:43:47,256 - INFO - Servidor server_dan registrado con 0 archivos
2025-09-28 15:43:47,665 - INFO - Petición de ('127.0.0.1', 54059): registrar_servidor
2025-09-28 15:43:47,666 - INFO - Servidor server_gus registrado con 0 archivos
2025-09-28 15:43:48,047 - INFO - Petición de ('127.0.0.1', 54060): registrar_servidor
2025-09-28 15:43:48,048 - INFO - Servidor server_christian registrado con 0 archivos
2025-09-28 15:44:16,476 - INFO - Petición de ('127.0.0.1', 53907): heartbeat
2025-09-28 15:44:16,854 - INFO - Petición de ('127.0.0.1', 53908): heartbeat
2025-09-28 15:44:17,258 - INFO - Petición de ('127.0.0.1', 53909): heartbeat
2025-09-28 15:44:17,669 - INFO - Petición de ('127.0.0.1', 53910): heartbeat
2025-09-28 15:44:18,051 - INFO - Petición de ('127.0.0.1', 53911): heartbeat
2025-09-28 15:44:46,478 - INFO - Petición de ('127.0.0.1', 51631): heartbeat
2025-09-28 15:44:46,857 - INFO - Petición de ('127.0.0.1', 51633): heartbeat
2025-09-28 15:44:47,260 - INFO - Petición de ('127.0.0.1', 51634): heartbeat
2025-09-28 15:44:47,671 - INFO - Petición de ('127.0.0.1', 60289): heartbeat
2025-09-28 15:44:48,052 - INFO - Petición de ('127.0.0.1', 60290): heartbeat
2025-09-28 15:45:16,480 - INFO - Petición de ('127.0.0.1', 60100): heartbeat
2025-09-28 15:45:16,859 - INFO - Petición de ('127.0.0.1', 60101): heartbeat
2025-09-28 15:45:17,262 - INFO - Petición de ('127.0.0.1', 60102): heartbeat
2025-09-28 15:45:17,673 - INFO - Petición de ('127.0.0.1', 60103): heartbeat
2025-09-28 15:45:18,055 - INFO - Petición de ('127.0.0.1', 60104): heartbeat
2025-09-28 15:45:31,169 - INFO - Petición de ('127.0.0.1', 50582): listar_archivos
2025-09-28 15:45:46,482 - INFO - Petición de ('127.0.0.1', 51901): heartbeat
2025-09-28 15:45:46,860 - INFO - Petición de ('127.0.0.1', 51903): heartbeat
2025-09-28 15:45:47,274 - INFO - Petición de ('127.0.0.1', 51904): heartbeat
2025-09-28 15:45:47,675 - INFO - Petición de ('127.0.0.1', 51905): heartbeat
2025-09-28 15:45:48,057 - INFO - Petición de ('127.0.0.1', 51906): heartbeat
2025-09-28 15:46:16,484 - INFO - Petición de ('127.0.0.1', 49939): heartbeat
2025-09-28 15:46:16,862 - INFO - Petición de ('127.0.0.1', 49940): heartbeat
2025-09-28 15:46:17,276 - INFO - Petición de ('127.0.0.1', 63185): heartbeat
2025-09-28 15:46:17,677 - INFO - Petición de ('127.0.0.1', 63186): heartbeat
2025-09-28 15:46:18,058 - INFO - Petición de ('127.0.0.1', 63187): heartbeat
2025-09-28 15:46:46,486 - INFO - Petición de ('127.0.0.1', 61168): heartbeat
2025-09-28 15:46:46,864 - INFO - Petición de ('127.0.0.1', 61170): heartbeat
2025-09-28 15:46:47,278 - INFO - Petición de ('127.0.0.1', 61171): heartbeat
2025-09-28 15:46:47,678 - INFO - Petición de ('127.0.0.1', 61172): heartbeat
2025-09-28 15:46:48,061 - INFO - Petición de ('127.0.0.1', 57770): heartbeat
2025-09-28 15:47:16,488 - INFO - Petición de ('127.0.0.1', 65392): heartbeat
2025-09-28 15:47:16,865 - INFO - Petición de ('127.0.0.1', 65393): heartbeat
2025-09-28 15:47:17,281 - INFO - Petición de ('127.0.0.1', 65394): heartbeat
